human_symbol	yeast_sgd
APRT	YDR441C
APRT	YML022W
AQP-1	YLL043W
AQP-2	YLL043W
AQP-5	YLL043W
AQP-6	YLL043W
AQP1	YPR192W
AQP2	YPR192W
AQP3	YPR192W
AQP4	YPR192W
AQP5	YPR192W
AQP6	YPR192W
AR	YBR149W
AR	YDR368W
AR	YJR096W
AR	YOR120W
ARCN1	YFR051C
ARF GAP 1	YNL204C
ARF GAP 2	YNL204C
ARF GAP 3	YNL204C
ARF1	YBR164C
ARF1	YDL137W
ARF1	YDL192W
ARF1	YMR138W
ARF1	YOR094W
ARF3	YBR164C
ARF3	YDL137W
ARF3	YDL192W
ARF3	YMR138W
ARF3	YOR094W
ARF4	YBR164C
ARF4	YDL137W
ARF4	YDL192W
ARF4	YMR138W
ARF4	YOR094W
ARF5	YBR164C
ARF5	YDL137W
ARF5	YDL192W
ARF5	YMR138W
ARF5	YOR094W
ARF6	YBR164C
ARF6	YDL137W
ARF6	YDL192W
ARF6	YMR138W
ARF6	YOR094W
ARFGAP1	YDL226C
ARFGAP2	YER122C
ARFGAP3	YER122C
ARFGAP3	YNL204C
ARFGEF1	YDR170C
ARFGEF2	YDR170C
ARFRP1	YPL051W
ARG1	YPL111W
ARG2	YPL111W
ARHGAP29	YBR260C
ARHGAP45	YBR260C
ARHGDIA	YDL135C
ARHGDIB	YDL135C
ARHGDIG	YDL135C
ARIH1	YKR017C
ARIH2	YKR017C
ARK-1	YPL209C
ARK-3	YPL209C
ARL1	YBR164C
ARL1	YDL137W
ARL1	YDL192W
ARL1	YMR138W
ARL1	YOR094W
ARL11	YBR164C
ARL11	YDL137W
ARL11	YDL192W
ARL11	YMR138W
ARL11	YOR094W
ARL14	YBR164C
ARL14	YDL137W
ARL14	YDL192W
ARL14	YMR138W
ARL14	YOR094W
ARL14	YPL051W
ARL17B	YBR164C
ARL17B	YDL137W
ARL17B	YDL192W
ARL17B	YMR138W
ARL17B	YOR094W
ARL3	YBR164C
ARL3	YDL137W
ARL3	YDL192W
ARL3	YMR138W
ARL3	YOR094W
ARL4A	YBR164C
ARL4A	YDL137W
ARL4A	YDL192W
ARL4A	YMR138W
ARL4A	YOR094W
ARL4C	YBR164C
ARL4C	YDL137W
ARL4C	YDL192W
ARL4C	YMR138W
ARL4C	YOR094W
ARL4D	YBR164C
ARL4D	YDL137W
ARL4D	YDL192W
ARL4D	YMR138W
ARL4D	YOR094W
ARL5A	YBR164C
ARL5A	YDL137W
ARL5A	YDL192W
ARL5A	YMR138W
ARL5A	YOR094W
ARL5B	YBR164C
ARL5B	YDL137W
ARL5B	YDL192W
ARL5B	YMR138W
ARL5B	YOR094W
ARL5C	YBR164C
ARL5C	YDL137W
ARL5C	YDL192W
ARL5C	YMR138W
ARL5C	YOR094W
ARP	YBR149W
ARP	YDR368W
ARP	YJR096W
ARP	YOR120W
ARP-T3	YFL039C
ARP-T3	YHR129C
ARP1B	YFL039C
ARP1B	YHR129C
ARPC1A	YBR234C
ARPC1B	YBR234C
ARPC2	YNR035C
ARPC3	YLR370C
ARPC4	YKL013C
ARPC4-TTLL3	YKL013C
ARPC5	YIL062C
ARPC5L	YIL062C
ASCC3	YGR271W
ASF1A	YJL115W
ASF1B	YJL115W
ASL	YHR018C
ASNS	YGR124W
ASNS	YPR145W
ASNSD1	YML096W
ASS1	YOL058W
ATAD1	YGR028W
ATAD2	YGR270W
ATAD2B	YGR270W
ATE1	YGL017W
ATG3	YNR007C
ATG4A	YNL223W
