target_id	target_family	model_direction_score
GABRP	ion_channel	0.4049
CLDN4	ion_channel	0.3898
KCNK3	ion_channel	0.434
GABRD	ion_channel	0.4136
CLIC2	ion_channel	0.361
GRIN2D	ion_channel	0.3119
P2RX6	ion_channel	0.4068
KCNN4	ion_channel	0.3824
GRID2	ion_channel	0.3715
KCNAB3	ion_channel	0.3686
CACNA1G	ion_channel	0.407
KCNQ3	ion_channel	0.3987
KCNQ2	ion_channel	0.3555
CACNG3	ion_channel	0.3928
GRIN3B	ion_channel	0.3893
HCN1	ion_channel	0.4046
CACNA1F	ion_channel	0.3861
KCNJ13	ion_channel	0.3523
GLRA3	ion_channel	0.407
TRPA1	ion_channel	0.3958
BEST1	ion_channel	0.3797
TRPM2	ion_channel	0.3605
TMEM63A	ion_channel	0.3821
KCNK2	ion_channel	0.3768
CACNA1H	ion_channel	0.3718
KCNH1	ion_channel	0.3973
HTR3B	ion_channel	0.3832
KCNK5	ion_channel	0.4037
CLIC3	ion_channel	0.3804
CHRNA1	ion_channel	0.4198
CYBB	ion_channel	0.3834
CHRNG	ion_channel	0.3793
