target_id	model_direction_score	models_used
OR2T4	0.4352	scfoundation
OR2T5	0.3679	scfoundation
OR2T6	0.4305	scfoundation
OR2T7	0.3881	scfoundation
OR2T8	0.4065	scfoundation
OR2V1	0.3807	scfoundation
OR2V2	0.3747	scfoundation
OR2W1	0.3982	scfoundation
OR2W3	0.3802	scfoundation
OR2W5P		
OR2W6P		
OR2Y1	0.3832	scfoundation
OR2Z1	0.4025	scfoundation
OR3A1	0.4021	scfoundation
OR3A2	0.3648	scfoundation
OR3A3	0.3911	scfoundation
OR3A4P		
OR4A15	0.3784	scfoundation
OR4A16	0.392	scfoundation
OR4A47	0.3925	scfoundation
OR4A4P		
OR4A5	0.3786	scfoundation
OR4A8	0.4411	scfoundation
OR4B1	0.3902	scfoundation
OR4C11	0.3656	scfoundation
OR4C12	0.37	scfoundation
OR4C13	0.3768	scfoundation
OR4C15	0.362	scfoundation
OR4C16	0.4226	scfoundation
OR4C3	0.3853	scfoundation
OR4C45	0.3909	scfoundation
OR4C46	0.3774	scfoundation
OR4C5	0.4288	scfoundation
OR4C6	0.3931	scfoundation
OR4D1	0.4152	scfoundation
OR4D10	0.3824	scfoundation
OR4D11	0.4094	scfoundation
OR4D2	0.4142	scfoundation
OR4D5	0.4273	scfoundation
OR4D6	0.3948	scfoundation
OR4D9	0.3942	scfoundation
OR4E1	0.3932	scfoundation
OR4E2	0.3913	scfoundation
OR4F15	0.3791	scfoundation
OR4F17	0.4243	scfoundation
OR4F21	0.3838	scfoundation
OR4F3;		
OR4F4	0.3858	scfoundation
OR4F5	0.3508	scfoundation
OR4F6	0.3635	scfoundation
OR4K1	0.3733	scfoundation
OR4K13	0.3491	scfoundation
OR4K14	0.4038	scfoundation
OR4K15	0.3861	scfoundation
OR4K17	0.3899	scfoundation
OR4K2	0.3716	scfoundation
OR4K3	0.4173	scfoundation
OR4K5	0.3886	scfoundation
OR4L1	0.4026	scfoundation
OR4M1	0.3962	scfoundation
OR4M2	0.4054	scfoundation
OR4M2B	0.3982	scfoundation
OR4N2	0.3291	scfoundation
OR4N4	0.3995	scfoundation
OR4N4C	0.3388	scfoundation
OR4N5	0.3842	scfoundation
OR4P4	0.3873	scfoundation
OR4Q2	0.3965	scfoundation
OR4Q3	0.403	scfoundation
OR4S1	0.4089	scfoundation
OR4S2	0.4128	scfoundation
OR4X1	0.3911	scfoundation
OR4X2	0.3668	scfoundation
OR51A2	0.3587	scfoundation
OR51A4	0.3669	scfoundation
OR51A7	0.3907	scfoundation
OR51B2	0.4058	scfoundation
OR51B4	0.4011	scfoundation
OR51B5	0.4031	scfoundation
OR51B6	0.3832	scfoundation
OR51C1		
OR51D1	0.3629	scfoundation
OR51E1	0.3939	scfoundation
OR51E2	0.3908	scfoundation
OR51F1	0.3452	scfoundation
OR51F2	0.4128	scfoundation
OR51G1	0.3828	scfoundation
OR51G2	0.4201	scfoundation
OR51H1	0.3937	scfoundation
OR51I1	0.4276	scfoundation
OR51I2	0.4116	scfoundation
OR51J1	0.3776	scfoundation
OR51L1	0.3855	scfoundation
OR51M1	0.3974	scfoundation
OR51Q1	0.3973	scfoundation
OR51S1	0.3543	scfoundation
OR51T1	0.3874	scfoundation
OR51V1	0.4165	scfoundation
OR52A1	0.4141	scfoundation
OR52A4P		
OR52A5	0.3862	scfoundation
OR52B2	0.3951	scfoundation
OR52B4	0.4081	scfoundation
OR52B6	0.3808	scfoundation
OR52D1	0.4072	scfoundation
OR52E1	0.3951	scfoundation
OR52E2	0.205	scfoundation
OR52E4	0.3881	scfoundation
OR52E5	0.3676	scfoundation
OR52E6	0.4001	scfoundation
OR52E8	0.427	scfoundation
OR52H1	0.3586	scfoundation
OR52I1	0.3422	scfoundation
OR52I2	0.3615	scfoundation
OR52J3	0.3087	scfoundation
OR52K1	0.3963	scfoundation
OR52K2	0.3683	scfoundation
OR52L1	0.3988	scfoundation
OR52L2P		
