inchikey	n_sig_tasks	n_tier1	n_tier2	n_tier3	max_rho	min_q	chembl_id	n_chembl_genes	top_chembl_genes	smiles
KEDMKBJCEYILDJ-UHFFFAOYSA-N	1	0	1	0	0.027009230822488	0.0	CHEMBL1446665	3	CYP1A2 NS1 CYP2C19 CYP2C9 CYP2D6	
KEYHJXUZQYFDHO-UHFFFAOYSA-N	4	0	4	0	0.0409823152783465	0.0	CHEMBL1503912	5	KDM4E Rorc TGR ALDH1A1 FTL	
KFBSSSPZCAEWCM-UHFFFAOYSA-N	1	0	0	1	0.0324414139356728	0.0		0		
KFULURXNVNLJOV-UHFFFAOYSA-N	10	0	0	10	0.109993188194182	0.0		0		
KJTXCEXIFYAIFF-UHFFFAOYSA-N	1	0	0	1	0.1240439810098065	0.0		0		
KJYYVKYSBVQXBM-NVNXTCNLSA-N	5	0	0	5	0.206428909876765	0.0		0		
KKBMVSGBGAUGTR-UHFFFAOYSA-N	8	0	8	0	0.0414205998400824	0.0	CHEMBL5497594	0	SAMHD1	
KKYDGIBGSSRWGB-UHFFFAOYSA-N	1	0	0	1	0.0151429259298784	0.0		0		
KKZJGLLVHKMTCM-UHFFFAOYSA-N	1	0	1	0	0.0229876404057651	0.0	CHEMBL58	76	ABCC1 THPO LMNA CHRM2 CHRM4	
KNEPKOQSGFSSJJ-UHFFFAOYSA-N	1	0	0	1	0.0968382194176539	0.0		0		
KNKVJBRMGKXDGO-UHFFFAOYSA-N	1	0	1	0	0.0203924390721683	0.0	CHEMBL1608830	7	TDP1 HPGD Rorc USP2 FTL	
KNMBHGSZDTURIO-UHFFFAOYSA-N	16	0	0	16	0.0352305874152099	0.0		0		
KNMVQSUYQYHINS-UHFFFAOYSA-N	7	0	0	7	0.037229710840045	0.0		0		
KOAZNFCSOAOVEQ-GHXNOFRVSA-N	57	0	0	57	0.1231991951154133	0.0		0		
KOLPZKQPBGVSAU-UHFFFAOYSA-N	1	0	1	0	0.0444648080087175	0.0	CHEMBL27871	8	mex-5 NS1 pos-1 KMT2A MEN1	
KPFCTSPVNYQSOW-UHFFFAOYSA-N	3	0	0	3	0.0616881438574236	0.0		0		
KPJKWKUDBQQILH-UHFFFAOYSA-N	61	0	61	0	0.039566880931119	0.0	CHEMBL3186773	0	NS3	
KPNSXQNKDQMBAW-WYDVDPGPSA-N	5	0	0	5	0.0395259284421463	0.0		0		
KQGQIJBFNSFSGQ-UHFFFAOYSA-N	58	0	0	58	0.0346444430278585	0.0		0		
KSWGVLALPBTFPF-UHFFFAOYSA-N	3	0	0	3	0.0498684357059462	0.0		0		
KTEXNACQROZXEV-CDQRVUJFSA-N	4	0	0	4	0.0428261473152964	0.0		0		
KTSCRLVWGYIJDL-UHFFFAOYSA-N	1	0	1	0	0.0261987581296042	0.0	CHEMBL1562529	1	NS1 APEX1 BAZ2B CGA EHMT2	
KVOJTUXGYQVLAJ-UHFFFAOYSA-N	10	0	10	0	0.1563519277054993	0.0	CHEMBL313244	8	THRB MCL1 KDM4E HSD17B10 CYP3A4	
LAAMFYYXHGDSRH-UHFFFAOYSA-N	1	0	0	1	0.0216313092560729	0.0		0		
LCNNEYOGOALQLT-UHFFFAOYSA-N	16	0	16	0	0.0431590930757704	0.0	CHEMBL5491290	0	SAMHD1	
LEGQADSDIOYPOS-UHFFFAOYSA-N	1	0	0	1	0.0459233972314834	0.0		0		
LEUDOKRCLDXEIN-UHFFFAOYSA-N	1	0	0	1	0.0564331520385079	0.0		0		
LFVYDUHHPGRLAT-UHFFFAOYSA-N	6	0	6	0	0.0607070330408564	0.0	CHEMBL1586916	8	ampC Impa1 Rorc MAPT FTL	
LGUHQIOUFDSZTE-UHFFFAOYSA-N	28	0	0	28	0.1451311724756979	0.0		0		
LITCKBAOXMKNTI-UHFFFAOYSA-N	25	0	0	25	0.0371875389294577	0.0		0		
LMILVXQXGKTFSZ-UHFFFAOYSA-N	1	0	1	0	0.034288354391845	0.0	CHEMBL1570340	1	USP2 SLCO1B1 SLCO1B3	
LMXYVLFTZRPNRV-KMKOMSMNSA-N	11	0	11	0	0.0486586327227908	0.0	CHEMBL72365	43	RAF1 CYP2C9 MAP1LC3B HTT MAPT	
LNEPOXFFQSENCJ-UHFFFAOYSA-N	1	0	1	0	0.0181010619965963	0.0	CHEMBL54	90	Drd2 DRD2 SIGMAR1 Drd3 Drd1	
LNMLBWYKIACOSF-UHFFFAOYSA-N	2	0	0	2	0.0228126495730131	0.0		0		
